latitude,longitude,elevation,time
41.383221,2.119278,57.065,2026-06-01 13:22:52.980000+00:00
41.383166,2.119286,56.768,2026-06-01 13:22:56.985000+00:00
41.38312,2.119317,56.414,2026-06-01 13:23:01.990000+00:00
41.383071,2.119342,56.209,2026-06-01 13:23:06.993000+00:00
41.383022,2.119351,56.038,2026-06-01 13:23:12.996000+00:00
41.382976,2.119387,55.832,2026-06-01 13:23:16.997000+00:00
41.382931,2.119415,55.533,2026-06-01 13:23:21.998000+00:00
41.382886,2.119441,55.358,2026-06-01 13:23:26.999000+00:00
41.382838,2.119456,55.142,2026-06-01 13:23:32+00:00
41.382792,2.119473,54.84,2026-06-01 13:23:37+00:00
41.382754,2.119428,54.787,2026-06-01 13:23:42+00:00
41.382726,2.119362,54.62,2026-06-01 13:23:48+00:00
41.382706,2.1193,54.585,2026-06-01 13:23:54+00:00
41.382678,2.119251,54.596,2026-06-01 13:23:58+00:00
41.382642,2.119216,54.531,2026-06-01 13:24:01+00:00
41.382666,2.11927,54.624,2026-06-01 13:24:15+00:00
41.382684,2.119328,54.609,2026-06-01 13:24:18+00:00
41.382699,2.119392,54.661,2026-06-01 13:24:22+00:00
41.382716,2.11945,54.645,2026-06-01 13:24:29+00:00
41.382763,2.119459,54.656,2026-06-01 13:24:37+00:00
41.38277,2.119522,54.611,2026-06-01 13:24:49+00:00
41.382773,2.119599,54.525,2026-06-01 13:24:54+00:00
41.382769,2.119662,54.343,2026-06-01 13:24:58+00:00
41.382779,2.11972,54.22,2026-06-01 13:25:12+00:00
41.382836,2.11973,54.293,2026-06-01 13:25:19+00:00
41.382879,2.119758,54.298,2026-06-01 13:25:23+00:00
41.38292,2.119795,54.578,2026-06-01 13:25:27+00:00
41.382954,2.119844,54.933,2026-06-01 13:25:36+00:00
41.382975,2.119908,55.026,2026-06-01 13:25:41+00:00
41.382989,2.119974,55.109,2026-06-01 13:25:46+00:00
41.38299,2.120035,55.339,2026-06-01 13:25:51+00:00
41.382989,2.120109,55.643,2026-06-01 13:25:57+00:00
41.382972,2.120174,56.074,2026-06-01 13:26:02+00:00
41.382945,2.120242,56.329,2026-06-01 13:26:07+00:00
41.382928,2.120298,56.453,2026-06-01 13:26:11+00:00
41.382909,2.120353,56.581,2026-06-01 13:26:18+00:00
41.382887,2.120411,56.578,2026-06-01 13:26:25+00:00
41.382914,2.120463,56.531,2026-06-01 13:26:34+00:00
41.382958,2.120484,56.656,2026-06-01 13:26:40+00:00
41.382971,2.12042,56.617,2026-06-01 13:27:14+00:00
41.383031,2.120425,56.787,2026-06-01 13:27:22+00:00
41.383073,2.120451,56.815,2026-06-01 13:27:27+00:00
41.383066,2.120514,56.809,2026-06-01 13:27:31+00:00
41.383064,2.120574,56.893,2026-06-01 13:27:36+00:00
41.383076,2.120635,56.977,2026-06-01 13:27:47+00:00
41.383106,2.120685,56.998,2026-06-01 13:27:58+00:00
41.383115,2.120763,56.973,2026-06-01 13:28:11+00:00
41.383126,2.120827,57.017,2026-06-01 13:28:15+00:00
41.38314,2.120894,57.015,2026-06-01 13:28:22+00:00
41.383168,2.120958,57.022,2026-06-01 13:28:28+00:00
41.383202,2.121026,56.895,2026-06-01 13:28:31+00:00
41.383247,2.121068,56.55,2026-06-01 13:28:34+00:00
41.383285,2.1211,56.595,2026-06-01 13:28:37+00:00
41.383323,2.121137,56.649,2026-06-01 13:28:40+00:00
41.383324,2.121202,56.623,2026-06-01 13:28:44+00:00
41.383341,2.121269,56.709,2026-06-01 13:28:48+00:00
41.383382,2.121308,56.731,2026-06-01 13:28:54+00:00
41.383415,2.121264,56.855,2026-06-01 13:29:03+00:00
41.383381,2.121212,56.876,2026-06-01 13:29:07+00:00
41.383338,2.121192,56.861,2026-06-01 13:29:11+00:00
41.383292,2.121189,56.975,2026-06-01 13:29:17+00:00
41.383244,2.121176,56.833,2026-06-01 13:29:25+00:00
41.383204,2.121144,56.99,2026-06-01 13:29:30+00:00
41.383166,2.121107,57.053,2026-06-01 13:29:41+00:00
41.383126,2.121049,57.038,2026-06-01 13:29:47.003000+00:00
41.38313,2.120984,57.059,2026-06-01 13:29:54.002000+00:00
41.383107,2.120926,57.003,2026-06-01 13:29:57.002000+00:00
41.383091,2.12086,57.023,2026-06-01 13:30:00.002000+00:00
41.383078,2.120796,57.009,2026-06-01 13:30:04.002000+00:00
41.383065,2.120734,57.067,2026-06-01 13:30:09.002000+00:00
