X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2.117799,41.385429,"0","0","0",68.695,2026/06/01 13:16:58+00,,,,,,,,,,,,,,,,,,,,,
2.117999,41.385329,"0","0","1",69.049,2026/06/01 13:16:59+00,,,,,,,,,,,,,,,,,,,,,
2.118061,41.385377,"0","0","2",69.323,2026/06/01 13:17:04+00,,,,,,,,,,,,,,,,,,,,,
2.118075,41.38517,"0","0","3",69.309,2026/06/01 13:17:08+00,,,,,,,,,,,,,,,,,,,,,
2.118002,41.385168,"0","0","4",69.341,2026/06/01 13:17:10+00,,,,,,,,,,,,,,,,,,,,,
2.117981,41.385214,"0","0","5",69.315,2026/06/01 13:17:14+00,,,,,,,,,,,,,,,,,,,,,
2.118043,41.385232,"0","0","6",69.346,2026/06/01 13:17:24+00,,,,,,,,,,,,,,,,,,,,,
2.118113,41.385222,"0","0","7",69.351,2026/06/01 13:17:27+00,,,,,,,,,,,,,,,,,,,,,
2.118244,41.385229,"0","0","8",67.545,2026/06/01 13:17:29+00,,,,,,,,,,,,,,,,,,,,,
2.118319,41.385243,"0","0","9",67.242,2026/06/01 13:17:36+00,,,,,,,,,,,,,,,,,,,,,
2.118378,41.385222,"0","0","10",67.213,2026/06/01 13:17:40+00,,,,,,,,,,,,,,,,,,,,,
2.118386,41.385176,"0","0","11",67.238,2026/06/01 13:17:43+00,,,,,,,,,,,,,,,,,,,,,
2.118403,41.38512,"0","0","12",67.254,2026/06/01 13:17:48+00,,,,,,,,,,,,,,,,,,,,,
2.118423,41.385069,"0","0","13",67.297,2026/06/01 13:17:52+00,,,,,,,,,,,,,,,,,,,,,
2.118449,41.385012,"0","0","14",67.223,2026/06/01 13:17:56+00,,,,,,,,,,,,,,,,,,,,,
2.11847,41.384966,"0","0","15",67.225,2026/06/01 13:18:00+00,,,,,,,,,,,,,,,,,,,,,
2.118496,41.384909,"0","0","16",66.609,2026/06/01 13:18:05+00,,,,,,,,,,,,,,,,,,,,,
2.118519,41.384865,"0","0","17",66.521,2026/06/01 13:18:08+00,,,,,,,,,,,,,,,,,,,,,
2.118541,41.384809,"0","0","18",66.125,2026/06/01 13:18:14+00,,,,,,,,,,,,,,,,,,,,,
2.118565,41.384756,"0","0","19",66.086,2026/06/01 13:18:18+00,,,,,,,,,,,,,,,,,,,,,
2.118588,41.384706,"0","0","20",65.681,2026/06/01 13:18:22+00,,,,,,,,,,,,,,,,,,,,,
2.118615,41.384647,"0","0","21",65.225,2026/06/01 13:18:27+00,,,,,,,,,,,,,,,,,,,,,
2.118648,41.384597,"0","0","22",64.852,2026/06/01 13:18:31+00,,,,,,,,,,,,,,,,,,,,,
2.118661,41.384551,"0","0","23",64.843,2026/06/01 13:18:36+00,,,,,,,,,,,,,,,,,,,,,
2.118683,41.384507,"0","0","24",64.848,2026/06/01 13:18:39+00,,,,,,,,,,,,,,,,,,,,,
2.118707,41.384456,"0","0","25",64.674,2026/06/01 13:18:43+00,,,,,,,,,,,,,,,,,,,,,
2.118726,41.384401,"0","0","26",64.277,2026/06/01 13:18:48+00,,,,,,,,,,,,,,,,,,,,,
2.118757,41.384354,"0","0","27",64.061,2026/06/01 13:18:52+00,,,,,,,,,,,,,,,,,,,,,
2.118776,41.384303,"0","0","28",64.027,2026/06/01 13:18:56+00,,,,,,,,,,,,,,,,,,,,,
2.118796,41.384254,"0","0","29",63.909,2026/06/01 13:19:01+00,,,,,,,,,,,,,,,,,,,,,
